Regulatory Document,Regulation number,file_name,Topic represented by edges in graph
Substantial Acquisition of Shares and Takeovers,regulation  2),87f6e0f4e3e9c586166ee085baee2fb4.docx,"['shares', 'company', 'voting', 'rights', 'acquisition']"
Substantial Acquisition of Shares and Takeovers,regulation  10(a),87f6e0f4e3e9c586166ee085baee2fb4.docx,"['transfer', 'shareholding', 'promoter', 'exemption', 'group']"
Mutual Funds,regulation  25(12),89a2677d4f5cb8b89a65a7314f822f4d.docx,"['hereinafter', 'company', 'director', 'regulationsl', 'ipamc']"
Listing Obligations and Disclosure Requirements,regulation  33(3),89a8a4117a622e70de098ed2d73d475d.docx,"['listing', 'provisions', 'guidance', 'letter', 'obligations']"
Listing Obligations and Disclosure Requirements,"regulation ,2015)",89a8a4117a622e70de098ed2d73d475d.docx,"['provisions', 'guidance', 'letter', 'listing', 'scheme']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997()",89f88052c9dcf60e9c606447caa4b8a8.docx,"['visa', 'shares', 'limited', 'infrastructure', 'promoter']"
Substantial Acquisition of Shares and Takeovers,regulation  10),89f88052c9dcf60e9c606447caa4b8a8.docx,"['group', 'infra', 'visa', 'exemption', 'board']"
Substantial Acquisition of Shares and Takeovers,regulation  11(1),89f88052c9dcf60e9c606447caa4b8a8.docx,"['threshold', 'target', 'company', 'visa', 'infra']"
Substantial Acquisition of Shares and Takeovers,regulation  12),89f88052c9dcf60e9c606447caa4b8a8.docx,"['infra', 'visa', 'exemption', 'board', 'threshold']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),89f88052c9dcf60e9c606447caa4b8a8.docx,"['group', 'infra', 'visa', 'exemption', 'transfer']"
Substantial Acquisition of Shares and Takeovers,regulation  11),89f88052c9dcf60e9c606447caa4b8a8.docx,"['infra', 'visa', 'exemption', 'board', 'shares']"
Substantial Acquisition of Shares and Takeovers,regulation  4(2),89f88052c9dcf60e9c606447caa4b8a8.docx,"['infra', 'visa', 'exemption', 'board', 'shares']"
Substantial Acquisition of Shares and Takeovers,regulation  6),89f88052c9dcf60e9c606447caa4b8a8.docx,"['transferee', 'target', 'advance', 'date', 'transferor']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),89f88052c9dcf60e9c606447caa4b8a8.docx,"['transferee', 'acquisition', 'date', 'days', 'terms']"
Substantial Acquisition of Shares and Takeovers,regulation  3(4),89f88052c9dcf60e9c606447caa4b8a8.docx,"['days', 'acquisition', 'date', 'terms', 'exchange']"
Listing Obligations and Disclosure Requirements,regulation  31),8b8fd1b75b87fa98944ea3b0f0ca37e1.docx,"['daughters', 'shares', 'company', 'promoter', 'pattern']"
Listing Obligations and Disclosure Requirements,"regulation ,2015)",8b8fd1b75b87fa98944ea3b0f0ca37e1.docx,"['promoter', 'person', 'group', 'entity', 'spouse']"
Issue of Capital and Disclosure Requirements,regulation  2(1),8b8fd1b75b87fa98944ea3b0f0ca37e1.docx,"['promoter', 'person', 'entity', 'group', 'spouse']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),8d4419b8054701162e43c7998f54353d.docx,"['agreement', 'hamied', 'terms', 'group', 'exemption']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),8d4419b8054701162e43c7998f54353d.docx,"['agreement', 'hamied', 'terms', 'group', 'exemption']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),8d4419b8054701162e43c7998f54353d.docx,"['agreement', 'hamied', 'terms', 'conditions', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),8d4419b8054701162e43c7998f54353d.docx,"['agreement', 'hamied', 'group', 'terms', 'rights']"
Substantial Acquisition of Shares and Takeovers,regulation  4),8d4419b8054701162e43c7998f54353d.docx,"['rights', 'terms', 'excess', 'thresholds', 'continuation']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),948db06c7a718345c066e153e61277f3.docx,"['india', 'bandra', 'mail', 'guidance', 'shares']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997()",948db06c7a718345c066e153e61277f3.docx,"['india', 'bandra', 'mail', 'guidance', 'shares']"
Issue of Capital and Disclosure Requirements,regulation  33(1),94a9cd44136889a02aad2cb87ecd52a0.docx,"['bonus', 'promoters', 'shares', 'issue', 'rules']"
Issue of Capital and Disclosure Requirements,"regulation ,2009()",94a9cd44136889a02aad2cb87ecd52a0.docx,"['promoters', 'bonus', 'capital', 'shares', 'issue']"
Debenture Trustees,"regulation ,1993)",96833e2774df896fbc928c6bad7b811c.docx,"['query', 'debenture', 'registration', 'answer', 'trustees']"
Alternative Investment Funds,regulation  17),97bb7adabe2c1089ff98ce447bc8b14a.docx,"['investment', 'llp', 'category', 'funds', 'manager']"
Alternative Investment Funds,regulation  2(o),97bb7adabe2c1089ff98ce447bc8b14a.docx,"['investment', 'llp', 'manager', 'brt', 'fund']"
Alternative Investment Funds,regulation  17(a),97bb7adabe2c1089ff98ce447bc8b14a.docx,"['funds', 'investment', 'letter', 'company', 'category']"
Alternative Investment Funds,regulation  2(1),97bb7adabe2c1089ff98ce447bc8b14a.docx,"['debt', 'fund', 'investment', 'funds', 'company']"
Alternative Investment Funds,regulation  3(4),97bb7adabe2c1089ff98ce447bc8b14a.docx,"['debt', 'fund', 'companies', 'funds', 'category']"
Alternative Investment Funds,regulation  2(i),97bb7adabe2c1089ff98ce447bc8b14a.docx,"['debt', 'fund', 'category', 'funds', 'companies']"
Alternative Investment Funds,regulation  15(1),97bb7adabe2c1089ff98ce447bc8b14a.docx,"['fund', 'funds', 'investment', 'corpus', 'alternative']"
Alternative Investment Funds,regulation  17(c),97bb7adabe2c1089ff98ce447bc8b14a.docx,"['funds', 'cia', 'category', 'compliance', 'borrowing']"
Alternative Investment Funds,regulation  21),97bb7adabe2c1089ff98ce447bc8b14a.docx,"['manager', 'conflicts', 'interest', 'provisions', 'funds']"
Alternative Investment Funds,regulation  10),97bb7adabe2c1089ff98ce447bc8b14a.docx,"['investment', 'alternative', 'fund', 'interest', 'rupees']"
Substantial Acquisition of Shares and Takeovers,regulation  11),99d470155c2ee287ecfdfdfdcdbaf0ae.docx,"['limited', 'shares', 'connection', 'exchange', 'sawhney']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(""sebi)",99d470155c2ee287ecfdfdfdcdbaf0ae.docx,"['limited', 'shares', 'connection', 'exchange', 'sawhney']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(""sebitakeoverregulations"")",99d470155c2ee287ecfdfdfdcdbaf0ae.docx,"['limited', 'shares', 'connection', 'exchange', 'sawhney']"
Substantial Acquisition of Shares and Takeovers,regulation  3),99d470155c2ee287ecfdfdfdcdbaf0ae.docx,"['limited', 'shares', 'persons', 'target', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  4),99d470155c2ee287ecfdfdfdcdbaf0ae.docx,"['limited', 'shares', 'connection', 'exchange', 'sawhney']"
Substantial Acquisition of Shares and Takeovers,regulation  5),99d470155c2ee287ecfdfdfdcdbaf0ae.docx,"['shares', 'stfl', 'rights', 'trust', 'voting']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),99d470155c2ee287ecfdfdfdcdbaf0ae.docx,"['company', 'persons', 'acquisition', 'family', 'shares']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),99d470155c2ee287ecfdfdfdcdbaf0ae.docx,"['company', 'persons', 'target', 'trusts', 'equity']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),9ad625889182d45bd9f9f96caea2cfcf.docx,"['saldhar', 'amalgamation', 'scheme', 'promoter', 'apcotex']"
Substantial Acquisition of Shares and Takeovers,regulation  10),9ad625889182d45bd9f9f96caea2cfcf.docx,"['saldhar', 'amalgamation', 'scheme', 'stake', 'transfer']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),9ad625889182d45bd9f9f96caea2cfcf.docx,"['saldhar', 'request', 'amalgamation', 'scheme', 'stake']"
Substantial Acquisition of Shares and Takeovers,regulation  10),9b68dbc0a312bb2bd7a3560cfe08d45a.docx,"['shares', 'acquisition', 'trust', 'company', 'offer']"
Share Based Employee Benefits,regulation  1(4),9b68dbc0a312bb2bd7a3560cfe08d45a.docx,"['scheme', 'trust', 'stock', 'manner', 'company']"
Share Based Employee Benefits,regulation  1),9b68dbc0a312bb2bd7a3560cfe08d45a.docx,"['company', 'scheme', 'provisions', 'employees', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  30(2),9bf51e0af295ddb4b9f4e7005007c1a9.docx,"['group', 'entities', 'promoter', 'ktl', 'list']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),9bf51e0af295ddb4b9f4e7005007c1a9.docx,"['welspun', 'company', 'shares', 'promoter', 'offer']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",9bf51e0af295ddb4b9f4e7005007c1a9.docx,"['welspun', 'company', 'shares', 'promoter', 'offer']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011(sastregulations)",9bf51e0af295ddb4b9f4e7005007c1a9.docx,"['welspun', 'company', 'shares', 'promoter', 'offer']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),9bf51e0af295ddb4b9f4e7005007c1a9.docx,"['welspun', 'company', 'shares', 'ktl', 'promoter']"
Prohibition of Insider Trading,"regulation ,1992()",9bf51e0af295ddb4b9f4e7005007c1a9.docx,"['persons', 'company', 'shares', 'acquisition', 'subsidiaries']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),9c20399f1abe3341ea40ec05df0c5f0a.docx,"['company', 'ktl', 'target', 'promoters', 'shares']"
Substantial Acquisition of Shares and Takeovers,regulation  30(2),9c20399f1abe3341ea40ec05df0c5f0a.docx,"['entities', 'ktl', 'widl', 'exemption', 'subsidiaries']"
Listing Obligations and Disclosure Requirements,regulation  46),9cdfe67a470681584c0732cde5d46f9d.docx,"['guidance', 'provisions', 'informal', 'letter', 'listing']"
Listing Obligations and Disclosure Requirements,"regulation ,2015)",9cdfe67a470681584c0732cde5d46f9d.docx,"['guidance', 'provisions', 'informal', 'letter', 'scheme']"
Listing Obligations and Disclosure Requirements,"regulation ,2018)",9cdfe67a470681584c0732cde5d46f9d.docx,"['listing', 'obligations', 'respect', 'subsidiary', 'statements']"
Substantial Acquisition of Shares and Takeovers,regulation  7(4),9cedd54a2eb15acdaf7f043cd85ae6b6.docx,"['shareholding', 'promoter', 'persons', 'company', 'acquirer']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),9cedd54a2eb15acdaf7f043cd85ae6b6.docx,"['offer', 'shares', 'acquirer', 'paragraph', 'transaction']"
Substantial Acquisition of Shares and Takeovers,regulation  4),9cedd54a2eb15acdaf7f043cd85ae6b6.docx,"['control', 'acquirer', 'company', 'target', 'offer']"
Substantial Acquisition of Shares and Takeovers,regulation  30),9cedd54a2eb15acdaf7f043cd85ae6b6.docx,"['company', 'acquirer', 'target', 'offer', 'shares']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2009)",9cedd54a2eb15acdaf7f043cd85ae6b6.docx,"['shareholding', 'persons', 'person', 'offer', 'promoter']"
Substantial Acquisition of Shares and Takeovers,regulation  33),9cedd54a2eb15acdaf7f043cd85ae6b6.docx,"['compliance', 'guidance', 'interpretation', 'provisions', 'undertaking']"
Substantial Acquisition of Shares and Takeovers,regulation  3),9cedd54a2eb15acdaf7f043cd85ae6b6.docx,"['shares', 'acquisition', 'headings', 'numbers', 'question']"
Issue of Capital and Disclosure Requirements,"regulation ,2009("")",9cedd54a2eb15acdaf7f043cd85ae6b6.docx,"['control', 'management', 'person', 'promoter', 'issue']"
Issue of Capital and Disclosure Requirements,"regulation ,2009(""icdrregulations"")",9cedd54a2eb15acdaf7f043cd85ae6b6.docx,"['control', 'management', 'person', 'promoter', 'issue']"
Substantial Acquisition of Shares and Takeovers,regulation  10),9d9d70b789950bc45d5032dd559dd877.docx,"['shares', 'jatia', 'yashvardhan', 'transmission', 'guidance']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),9d9d70b789950bc45d5032dd559dd877.docx,"['jatia', 'shares', 'transmission', 'yashvardhan', 'promoters']"
Substantial Acquisition of Shares and Takeovers,regulation  4),9d9d70b789950bc45d5032dd559dd877.docx,"['shares', 'promoters', 'jatia', 'yashvardhan', 'transmission']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),9d9d70b789950bc45d5032dd559dd877.docx,"['jatia', 'relatives', 'yashvardhan', 'takeovers', 'trust']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),9d9d70b789950bc45d5032dd559dd877.docx,"['jatia', 'shares', 'transmission', 'yashvardhan', 'promoters']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011()",9d9d70b789950bc45d5032dd559dd877.docx,"['shares', 'transmission', 'jatia', 'acquisition', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  30(3),9d9d70b789950bc45d5032dd559dd877.docx,"['shri', 'jatia', 'shares', 'exhibit', 'kumar']"
Substantial Acquisition of Shares and Takeovers,regulation  30(1),9d9d70b789950bc45d5032dd559dd877.docx,"['shares', 'promoter', 'persons', 'number', 'substantial']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),9e1237a20ddf3d52efcd7684efc42f91.docx,"['rbh', 'shares', 'cssl', 'consolidation', 'promoter']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011)",9e1237a20ddf3d52efcd7684efc42f91.docx,"['consolidation', 'acquisition', 'substantial', 'group', 'promoters']"
Substantial Acquisition of Shares and Takeovers,regulation  3),9e1237a20ddf3d52efcd7684efc42f91.docx,"['rbh', 'promoter', 'cssl', 'consolidation', 'group']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),9f6295e22d780cad4195bcbf8cba3d4b.docx,"['shares', 'way', 'voting', 'rights', 'exchange']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),9f6295e22d780cad4195bcbf8cba3d4b.docx,"['shares', 'exchange', 'limited', 'sequent', 'facts']"
Substantial Acquisition of Shares and Takeovers,regulation  19(6),9f6295e22d780cad4195bcbf8cba3d4b.docx,"['shares', 'exchange', 'limited', 'sequent', 'facts']"
Substantial Acquisition of Shares and Takeovers,"regulation ,2011('sebi)",9f6295e22d780cad4195bcbf8cba3d4b.docx,"['shares', 'exchange', 'limited', 'sequent', 'facts']"
Substantial Acquisition of Shares and Takeovers,regulation  10(5),9f6295e22d780cad4195bcbf8cba3d4b.docx,"['disclosure', 'shares', 'promoters', 'filing', 'purpose']"
Substantial Acquisition of Shares and Takeovers,regulation  10(6),9f6295e22d780cad4195bcbf8cba3d4b.docx,"['disclosure', 'shares', 'promoters', 'filing', 'purpose']"
Substantial Acquisition of Shares and Takeovers,regulation  10(7),9f6295e22d780cad4195bcbf8cba3d4b.docx,"['disclosure', 'shares', 'promoters', 'filing', 'purpose']"
Listing Obligations and Disclosure Requirements,regulation  52),a2e3a27dc781a31d2beff157cc0c59eb.docx,"['results', 'entity', 'circular', 'basis', 'time']"
Listing Obligations and Disclosure Requirements,regulation  33),a2e3a27dc781a31d2beff157cc0c59eb.docx,"['entity', 'equity', 'basis', 'disclosure', 'standalone']"
Listing Obligations and Disclosure Requirements,regulation  4),a2e3a27dc781a31d2beff157cc0c59eb.docx,"['entity', 'results', 'material', 'basis', 'equity']"
Listing Obligations and Disclosure Requirements,regulation  52(1),a2e3a27dc781a31d2beff157cc0c59eb.docx,"['reference', 'letter', 'entity', 'cases', 'requirement']"
Issue of Capital and Disclosure Requirements,regulation  2(l),a2ec8832374ed7f74a265d4e86d5911b.docx,"['security', 'shares', 'view', 'letter', 'issues']"
Issue of Capital and Disclosure Requirements,regulation  2(1),a2ec8832374ed7f74a265d4e86d5911b.docx,"['shares', 'date', 'security', 'basis', 'persons']"
Issue of Capital and Disclosure Requirements,regulation  78(2),a2ec8832374ed7f74a265d4e86d5911b.docx,"['shares', 'date', 'approval', 'security', 'basis']"
Issue of Capital and Disclosure Requirements,regulation  78),a2ec8832374ed7f74a265d4e86d5911b.docx,"['basis', 'approval', 'persons', 'date', 'period']"
Issue of Capital and Disclosure Requirements,regulation  78(3),a2ec8832374ed7f74a265d4e86d5911b.docx,"['shares', 'query', 'equity', 'lock', 'conversion']"
Issue of Capital and Disclosure Requirements,regulation  79(2),a2ec8832374ed7f74a265d4e86d5911b.docx,"['shares', 'equity', 'period', 'query', 'allottee']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),a4aec708b352ca8ef96bf5b14aa641e0.docx,"['jaipuria', 'company', 'mathura', 'guidance', 'smt']"
Substantial Acquisition of Shares and Takeovers,regulation  3),a4aec708b352ca8ef96bf5b14aa641e0.docx,"['company', 'mathura', 'exemption', 'companies', 'obligation']"
Foreign Portfolio Investors,regulation  32(2),a8964af4d89d839c87da0e410be17a9f.docx,"['provisions', 'undertaking', 'term', 'promoters', 'fpis']"
Substantial Acquisition of Shares and Takeovers,regulation  28(3),a8964af4d89d839c87da0e410be17a9f.docx,"['promoters', 'disposal', 'undertakings', 'clause', 'response']"
Substantial Acquisition of Shares and Takeovers,regulation  32(2),a8964af4d89d839c87da0e410be17a9f.docx,"['provisions', 'undertaking', 'term', 'promoters', 'fpis']"
Credit Rating Agencies,regulation  27(1),a73725adc876d9b74deebef90fbcc421.docx,"['india', 'rating', 'scheme', 'background', 'equity']"
Prohibition of Insider Trading,"regulation ,1997(“takeoverregulations”)",a9ebe899cf0b6f1dce81fd54a31c0f92.docx,"['trust', 'trustees', 'shares', 'company', 'substantial']"
Substantial Acquisition of Shares and Takeovers,regulation  11),a9ebe899cf0b6f1dce81fd54a31c0f92.docx,"['shareholding', 'trust', 'company', 'promoters', 'trustees']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),a9ebe899cf0b6f1dce81fd54a31c0f92.docx,"['shareholding', 'trust', 'company', 'promoters', 'trustees']"
Real Estate Investment Trusts,"regulation ,2018)",a929eb15e2804115835c78945baeb575.docx,"['relation', 'letter', 'respect', 'exchange', 'board']"
Real Estate Investment Trusts,regulation  15(3),a929eb15e2804115835c78945baeb575.docx,"['units', 'exchanges', 'stock', 'website', 'provisions']"
Real Estate Investment Trusts,regulation  15(5),a929eb15e2804115835c78945baeb575.docx,"['units', 'exchanges', 'stock', 'website', 'provisions']"
Investment Advisers,regulation  15(9),ab08a4658ad52a7f9d1776da19403839.docx,"['investment', 'fees', 'charges', 'adviser', 'code']"
Alternative Investment Funds,regulation  19),ab40aa4ba5bfd3d05d70ddbe028c689c.docx,"['angel', 'investment', 'investor', 'experience', 'letter']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),af0c273df0a3a2f7882616e0b9fbd60b.docx,"['jain', 'promoters', 'relative', 'inderchand', 'immediate']"
Prohibition of Insider Trading,regulation  2011),af0c273df0a3a2f7882616e0b9fbd60b.docx,"['goods', 'sales', 'jain', 'gift', 'transfer']"
Issue of Capital and Disclosure Requirements,regulation  72(2),af0c273df0a3a2f7882616e0b9fbd60b.docx,"['promoter', 'issue', 'group', 'goods', 'way']"
Alternative Investment Funds,"regulation ,2011)",af7aef9dedb978b9a19b293c49d6cae2.docx,"['investment', 'companies', 'spvs', 'funds', 'investments']"
Substantial Acquisition of Shares and Takeovers,regulation  11(1),b072ee9db424478ed3530dbf2011de06.docx,"['limited', 'acquisition', 'cera', 'shares', 'telephone']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997)",b072ee9db424478ed3530dbf2011de06.docx,"['limited', 'acquisition', 'shares', 'bse', 'company']"
Substantial Acquisition of Shares and Takeovers,regulation  11(2),b072ee9db424478ed3530dbf2011de06.docx,"['shares', 'deal', 'purchase', 'market', 'way']"
Substantial Acquisition of Shares and Takeovers,regulation  3),b10a5d48f463bea97c125302b7484957.docx,"['cipla', 'guidance', 'limited', 'business', 'substantial']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),b10a5d48f463bea97c125302b7484957.docx,"['request', 'hamied', 'agreement', 'arrangement', 'clause']"
Substantial Acquisition of Shares and Takeovers,regulation  3(1),b10a5d48f463bea97c125302b7484957.docx,"['agreement', 'arrangement', 'hamied', 'clause', 'exemption']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),b10a5d48f463bea97c125302b7484957.docx,"['agreement', 'arrangement', 'hamied', 'clause', 'exemption']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),b10a5d48f463bea97c125302b7484957.docx,"['request', 'hamied', 'agreement', 'arrangement', 'clause']"
Issue of Capital and Disclosure Requirements,regulation  70(1),b2c983ff8f5ebf4cd9c0af26e916a9f1.docx,"['issue', 'investment', 'investors', 'court', 'pfrl']"
Alternative Investment Funds,regulation  17),b2e3ef598ab30e0130dccca7bb5c3115.docx,"['investment', 'llp', 'days', 'funds', 'alternative']"
Alternative Investment Funds,regulation  2(o),b2e3ef598ab30e0130dccca7bb5c3115.docx,"['llp', 'investment', 'brt', 'contribution', 'debt']"
Alternative Investment Funds,regulation  15(1),b2e3ef598ab30e0130dccca7bb5c3115.docx,"['funds', 'investment', 'alternative', 'fund', 'expenditure']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),b32ca837ca65e79828dddb2c7936f4cf.docx,"['shares', 'company', 'letter', 'rights', 'voting']"
Substantial Acquisition of Shares and Takeovers,regulation  2011(),b32ca837ca65e79828dddb2c7936f4cf.docx,"['shares', 'company', 'rights', 'voting', 'promoter']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),b32ca837ca65e79828dddb2c7936f4cf.docx,"['shares', 'shareholding', 'acquisition', 'company', 'target']"
Substantial Acquisition of Shares and Takeovers,regulation  24),b4979027e7d982b174bb3490c70ad2a1.docx,"['management', 'promoter', 'gcl', 'group', 'shareholding']"
Issue of Capital and Disclosure Requirements,regulation  78(6),b604b3377f1b59fe672cb19703a846be.docx,"['letter', 'date', 'promoters', 'analysis', 'reference']"
Issue of Capital and Disclosure Requirements,regulation  78(6),b68820655517dbbb98616a00bd7621a1.docx,"['purposes', 'date', 'period', 'focus', 'letter']"
Issue of Capital and Disclosure Requirements,regulation  71),b68820655517dbbb98616a00bd7621a1.docx,"['issue', 'date', 'warrants', 'company', 'relation']"
Substantial Acquisition of Shares and Takeovers,regulation  11(1),b764b6ad85c8fd138a12e5acf465cad8.docx,"['shares', 'acquisition', 'rights', 'equity', 'cent']"
Substantial Acquisition of Shares and Takeovers,regulation  11),b764b6ad85c8fd138a12e5acf465cad8.docx,"['shares', 'equity', 'promoters', 'warrants', 'conversion']"
Listing Obligations and Disclosure Requirements,regulation  17(6),b7be6038864771bd5b6b2e41925f84da.docx,"['director', 'remuneration', 'approval', 'companies', 'promoter']"
Listing Obligations and Disclosure Requirements,regulation  17(6xe),b7be6038864771bd5b6b2e41925f84da.docx,"['clause', 'promoter', 'remuneration', 'director', 'limit']"
Substantial Acquisition of Shares and Takeovers,regulation  11(1),b7d9d6b819cadc0e06cda0b6ec7f2eba.docx,"['application', 'promoter', 'group', 'code', 'increase']"
Substantial Acquisition of Shares and Takeovers,regulation  11(2),b7d9d6b819cadc0e06cda0b6ec7f2eba.docx,"['shares', 'target', 'tare', 'holding', 'case']"
Substantial Acquisition of Shares and Takeovers,regulation  5),b7d9d6b819cadc0e06cda0b6ec7f2eba.docx,"['exchange', 'acquirer', 'shares', 'acquisition', 'rights']"
Substantial Acquisition of Shares and Takeovers,regulation  4),b7d9d6b819cadc0e06cda0b6ec7f2eba.docx,"['acquisition', 'offer', 'target', 'company', 'buy']"
Listing Obligations and Disclosure Requirements,regulation  46),b7f184bd56a7d1be77e57d4ac2901225.docx,"['subsidiaries', 'guidance', 'letter', 'companies', 'respect']"
Listing Obligations and Disclosure Requirements,regulation  24),b7f184bd56a7d1be77e57d4ac2901225.docx,"['guidance', 'letter', 'board', 'minutes', 'subsidiaries']"
Listing Obligations and Disclosure Requirements,"regulation ,2015)",b7f184bd56a7d1be77e57d4ac2901225.docx,"['guidance', 'letter', 'connection', 'way', 'request']"
Listing Obligations and Disclosure Requirements,regulation  24(4),b7f184bd56a7d1be77e57d4ac2901225.docx,"['board', 'subsidiary', 'situations', 'meetings', 'jcontinuation']"
Substantial Acquisition of Shares and Takeovers,regulation  11),b9e9b09a2f49b4d1f60e7577c8cabad2.docx,"['confirmation', 'interpretative', 'letter', 'consolidation', 'account']"
Share Based Employee Benefits,"regulation ,2018)",ba0c78ca4b46399dfbcb7e779e704030.docx,"['guidance', 'letter', 'way', 'limited', 'infosys']"
Share Based Employee Benefits,regulation  18(1),ba0c78ca4b46399dfbcb7e779e704030.docx,"['buyback', 'esops', 'period', 'case', 'shares']"
Share Based Employee Benefits,regulation  7(1),ba0c78ca4b46399dfbcb7e779e704030.docx,"['buyback', 'conversion', 'stock', 'applicant', 'period']"
Foreign Portfolio Investors,"regulation ,2014(""sebi)",bba3397ca8fabf57b7018445daf5008d.docx,"['ncds', 'debentures', 'foreign', 'india', 'capital']"
Foreign Portfolio Investors,"regulation ,2014(""sebifpiregulations"")",bba3397ca8fabf57b7018445daf5008d.docx,"['ncds', 'debentures', 'foreign', 'india', 'capital']"
Foreign Portfolio Investors,regulation  5(4),bba3397ca8fabf57b7018445daf5008d.docx,"['ncds', 'debentures', 'foreign', 'india', 'capital']"
Foreign Portfolio Investors,"regulation ,2000(the""femaregulations"")",bba3397ca8fabf57b7018445daf5008d.docx,"['ncds', 'debentures', 'foreign', 'india', 'capital']"
Substantial Acquisition of Shares and Takeovers,regulation  2(1),bbf84a737373ff70d0ca88a535a1e1ac.docx,"['baring', 'acquisition', 'massmutual', 'oppenheimer', 'persons']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997(sebi)",bbf84a737373ff70d0ca88a535a1e1ac.docx,"['acquisition', 'persons', 'shares', 'target', 'control']"
Substantial Acquisition of Shares and Takeovers,regulation  10(1),be0f333c66e45139d2187d1ee672d119.docx,"['saldhar', 'scheme', 'amalgamation', 'facts', 'promoter']"
Substantial Acquisition of Shares and Takeovers,regulation  3),be0f333c66e45139d2187d1ee672d119.docx,"['scheme', 'company', 'persons', 'voting', 'transferee']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),be0f333c66e45139d2187d1ee672d119.docx,"['saldhar', 'request', 'amalgamation', 'scheme', 'stake']"
Substantial Acquisition of Shares and Takeovers,regulation  10),be0f333c66e45139d2187d1ee672d119.docx,"['saldhar', 'amalgamation', 'scheme', 'stake', 'transfer']"
Prohibition of Insider Trading,regulation  4(1),bed9d741106e9d46712c5e33ab1d0b64.docx,"['bank', 'possession', 'window', 'letter', 'portfolio']"
Prohibition of Insider Trading,regulation  4),bed9d741106e9d46712c5e33ab1d0b64.docx,"['possession', 'information', 'upsi', 'query', 'interpretation']"
Issue of Capital and Disclosure Requirements,regulation  72(2),c05a73a4e9d5e4b4808b9158bf8f91cf.docx,"['letter', 'promoter', 'guidance', 'reference', 'issue']"
Issue of Capital and Disclosure Requirements,"regulation ,2009)",c05a73a4e9d5e4b4808b9158bf8f91cf.docx,"['issue', 'promoter', 'letter', 'basis', 'board']"
Issue of Capital and Disclosure Requirements,regulation  72),c05a73a4e9d5e4b4808b9158bf8f91cf.docx,"['shares', 'issue', 'board', 'requirements', 'equity']"
Prohibition of Insider Trading,"regulation ,2011)",c05a73a4e9d5e4b4808b9158bf8f91cf.docx,"['goods', 'sales', 'gift', 'way', 'transfer']"
Substantial Acquisition of Shares and Takeovers,regulation  72(2),c05a73a4e9d5e4b4808b9158bf8f91cf.docx,"['shares', 'board', 'issue', 'relaxation', 'equity']"
Prohibition of Insider Trading,regulation  40),c0f4f365995f5e8b4bac10a37ddb2c46.docx,"['possession', 'exchange', 'unpublished', 'stock', 'plan']"
Prohibition of Insider Trading,regulation  5),c0f4f365995f5e8b4bac10a37ddb2c46.docx,"['promoter', 'plan', 'lacs', 'para', 'group']"
