Regulatory Document,Regulation number,file_name,Topic represented by edges in graph
Alternative Investment Funds,regulation  15(i),1ac0bbdffc9d9c5e7ac1632b6b5a52df.docx,"['funds', 'agreement', 'contribution', 'investors', 'way']"
Alternative Investment Funds,regulation  15(1),1ac0bbdffc9d9c5e7ac1632b6b5a52df.docx,"['funds', 'fund', 'management', 'alternative', 'investment']"
Substantial Acquisition of Shares and Takeovers,regulation  3(2),1b6f134d7e787c85350a1c6e3910c6f1.docx,"['guidance', 'informal', 'general', 'ordinary', 'meeting']"
Substantial Acquisition of Shares and Takeovers,regulation  3(3),1b6f134d7e787c85350a1c6e3910c6f1.docx,"['guidance', 'informal', 'general', 'ordinary', 'meeting']"
Share Based Employee Benefits,regulation  3(2),1b6f134d7e787c85350a1c6e3910c6f1.docx,"['guidance', 'informal', 'exchange', 'share', 'employee']"
Share Based Employee Benefits,regulation  3(3),1b6f134d7e787c85350a1c6e3910c6f1.docx,"['guidance', 'informal', 'exchange', 'share', 'employee']"
Share Based Employee Benefits,"regulation ,2011)",1b6f134d7e787c85350a1c6e3910c6f1.docx,"['guidance', 'informal', 'exchange', 'share', 'employee']"
Listing Obligations and Disclosure Requirements,"regulation ,2015(""sebi)",1c5733ecbdc14f08d329db016cd44338.docx,"['guidance', 'company', 'provisions', 'background', 'facts']"
Listing Obligations and Disclosure Requirements,"regulation ,2015(""sebilodrregulations"")",1c5733ecbdc14f08d329db016cd44338.docx,"['guidance', 'company', 'provisions', 'background', 'facts']"
Listing Obligations and Disclosure Requirements,regulation  31),1c5733ecbdc14f08d329db016cd44338.docx,"['company', 'promoter', 'daughters', 'group', 'shares']"
Listing Obligations and Disclosure Requirements,"regulation ,2015(hereinaftercalledas)",1c5733ecbdc14f08d329db016cd44338.docx,"['company', 'promoter', 'daughters', 'group', 'shares']"
Issue of Capital and Disclosure Requirements,regulation  2(1),1c5733ecbdc14f08d329db016cd44338.docx,"['company', 'promoter', 'group', 'director', 'managing']"
Portfolio Managers,regulation  169),1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['structure', 'views', 'reference', 'comments', 'companies']"
Portfolio Managers,"regulation ,1993(pmregulations)",1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['structure', 'views', 'reference', 'comments', 'companies']"
Portfolio Managers,regulation  15),1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['structure', 'views', 'reference', 'comments', 'companies']"
Portfolio Managers,"regulation ,1996(custodianregulations)",1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['structure', 'views', 'reference', 'comments', 'companies']"
Portfolio Managers,"regulation ,1996)",1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['structure', 'views', 'reference', 'comments', 'companies']"
Custodian,regulation  169),1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['structure', 'views', 'reference', 'comments', 'companies']"
Custodian,"regulation ,1993(pmregulations)",1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['structure', 'views', 'reference', 'comments', 'companies']"
Custodian,regulation  15),1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['structure', 'views', 'reference', 'comments', 'companies']"
Custodian,"regulation ,1996()",1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['structure', 'views', 'reference', 'comments', 'companies']"
Custodian,"regulation ,1996(custodianregulations)",1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['structure', 'views', 'reference', 'comments', 'companies']"
Custodian,regulation  16),1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['client', 'custody', 'functions', 'nir', 'assets']"
Custodian,regulation  17),1e0a15448d9db0bbc1ee9ab6715661a3.docx,"['agreement', 'client', 'accounts', 'demat', 'cash']"
Alternative Investment Funds,regulation  22),1e4e946eca55a80467aad2e1546dd639.docx,"['investors', 'transaction', 'provisions', 'lifo', 'disclosure']"
Substantial Acquisition of Shares and Takeovers,"regulation ,1997()",1e35d373fb2f666e729a13889ad52169.docx,"['offer', 'holding', 'disa', 'acquirers', 'shares']"
